yyyymm (YearMonth),dfy_lag1,infl_lag1,svar_lag1,de_lag1,lty_lag1,tms_lag1,tbl_lag1,dfr_lag1,dp_lag1,dy_lag1,ltr_lag1,ep_lag1,b/m_lag1,ntis_lag1,CRSP_SPvw_minus_Rfree
192701,0.010000000000000002,0,0.000464618,-0.586175061,0.0354,0.0047,0.030699999999999998,-0.0022,-2.973012352,-2.95656953,0.0078,-2.386837291,0.44147582697201027,0.050876177315979106,-0.00541
192702,0.0095,-0.011299435,0.000469895,-0.567601208,0.0351,0.0028,0.0323,-0.0019,-2.942374495,-2.963349047,0.0075,-2.374773288,0.4437056454190909,0.050823785,0.042922
192703,0.0092,-0.005714286,0.000287334,-0.549181905,0.0347,0.0018,0.0329,-0.0019,-2.979534686,-2.932945854,0.0088,-2.430352781,0.4285008644109657,0.051667643,0.004324
192704,0.0092,-0.005747126,0.000924193,-0.531456408,0.0331,0.0011,0.032,-0.017,-2.976535097,-2.970053259,0.0253,-2.445078688,0.46976511744127936,0.046356576,0.010520999999999999
192705,0.009,0,0.000602589,-0.512916363,0.0333,-0.0006,0.0339,0.006,-2.98422499,-2.967142724,-0.0005,-2.471308627,0.45675413,0.050514024,0.059352999999999996
192706,0.0093,0.005780347,0.000391734,-0.494517506,0.0327,-0.0006,0.0333,-0.012,-3.025963334,-2.975058259,0.0109,-2.531445828,0.43478260869565216,0.05527539,-0.02297
192707,0.0097,0.011494252873563315,0.000824577,-0.475978892,0.0334,0.0027,0.030699999999999998,0.0112,-3.007308841,-3.016742874,-0.0069,-2.531329949,0.4523852493533057,0.058821916174431284,0.08145
192708,0.0095,-0.017045455,0.00042578,-0.457436875,0.0333,0.0037,0.0296,-0.0047,-3.061144242,-2.998172622,0.005,-2.603707368,0.4145534729878721,0.059749925307144625,0.030520000000000002
192709,0.0092,-0.005780347,0.001276414,-0.439022789,0.0329,0.0059,0.027000000000000003,0.0007,-3.095764479,-3.052225264,0.0076,-2.656741691,0.3962274092417936,0.054521771691877635,0.050916
192710,0.0088,0.005813953,0.001123349,-0.421338457,0.033,0.0062,0.0268,0.0131,-3.129096986,-3.086791005,0.0018,-2.707758528,0.3805860620476745,0.094612977,-0.049304
