yyyymm,permno,actual_ret,predicted_ret,decile
198606,10078,-0.118056,0.015810457752510887,4
198607,10078,-0.03937,0.015271567852526036,4
198609,10078,-0.00885,5.958270890413578e-05,3
198610,10078,0.348214,0.0024857982831440516,3
198612,10078,0.109827,2.4067634833350784e-06,3
198703,10078,0.09292,3.878608048248703e-09,2
198704,10078,0.165992,-3.8289555497388845e-09,1
198706,10078,-0.063218,-0.0003513976976997073,1
198707,10078,-0.150307,-0.0007066682647506395,1
198708,10078,0.119134,-3.612626926281781e-06,1
198709,10078,-0.064516,1.626306601850997e-05,3
198711,10078,-0.17037,-0.001506171291652647,1
198712,10078,0.196429,3.1533647669091857e-16,3
198802,10078,-0.022388,-1.3205169264222517e-15,1
198803,10078,0.091603,3.1695177992783207e-16,2
198805,10078,-0.042553,-6.20135605177107e-16,1
198806,10078,0.111111,4.68119469766757e-16,3
198808,10078,0.054608,5.940952833166931e-16,4
198809,10078,-0.087379,-8.388377898362156e-17,1
198810,10078,-0.191489,-1.2950911806403059e-16,1
198811,10078,-0.039474,9.859304701277321e-17,2
198901,10078,0.142857,-0.00045631186295701925,1
198902,10078,-0.065789,-0.000492831135708657,1
198903,10078,-0.091549,-4.708347196762238e-05,1
198905,10078,0.284672,0.0006095748241029957,3
198906,10078,-0.227273,-0.0002258824225291477,1
198907,10078,-0.147059,-0.0008034518980478732,1
198908,10078,0.077586,0.0003716486648853226,3
198910,10078,0.090164,0.0023258911739679326,3
198911,10078,-0.022556,0.0012861370042939434,3
199001,10078,0.123188,6.087946035952333e-149,2
199002,10078,0.154839,5.591775002625898e-149,2
199004,10078,0.088398,3.836205345785685e-149,2
199005,10078,0.233503,1.5762308930776292e-149,2
199007,10078,-0.073529,2.1181665996599447e-150,2
199008,10078,-0.087302,-1.1428659314125459e-150,1
199010,10078,-0.268571,-1.5047880424394045e-150,1
199011,10078,0.304688,2.06849484797782e-149,2
199012,10078,0.023952,1.7894238727482142e-11,2
199101,10078,0.327485,1.5989644579577136e-11,2
199102,10078,0.132159,1.2156434815927767e-11,2
199104,10078,0.15748,2.1152871511361903e-11,2
199105,10078,0.003401,3.8406432549588e-12,2
199107,10078,0.098655,1.4235478725524747e-11,2
199109,10078,-0.062016,6.642348010474211e-12,3
199110,10078,-0.181818,1.7329491477261594e-12,2
199112,10078,0.182292,0.0033342033245024978,2
199201,10078,0.07489,-0.0001956981806821266,1
199203,10078,-0.17029,0.0007111805217180078,3
199204,10078,-0.043668,-3.780870987977851e-05,1
199206,10078,-0.06278,-0.002285737595542559,1
199207,10078,0.023923,0.0036429357866218474,2
199208,10078,0.004673,0.0008842132100641553,2
199209,10078,0.162791,0.007323988443114656,3
199211,10078,-0.099291,0.003433854853589567,3
199212,10078,0.059055,1.4219672693163176e-149,3
199303,10078,-0.145907,1.7783502968579654e-141,2
199304,10078,-0.1,-1.1492462996280039e-138,1
199306,10078,-0.0125,2.922433277447464e-118,3
199308,10078,-0.117647,-6.680782733029018e-117,1
199309,10078,-0.085714,-7.504895787616546e-115,1
199311,10078,0.044118,5.242545351426865e-113,2
199312,10078,0.093897,0.0,1
199401,10078,-0.090129,0.0,1
199402,10078,0.023585,0.0,1
199403,10078,0.009217,0.0,1
199405,10078,-0.067039,0.0,1
199406,10078,-0.011976,0.0,1
199408,10078,0.191011,0.0,1
199409,10078,0.108491,0.0,1
