yyyymm,permno,actual_ret,predicted_ret,decile
198606,10078,-0.118056,0.11622772874250734,9
198607,10078,-0.03937,0.286739563696916,10
198609,10078,-0.00885,0.36888922322112183,10
198610,10078,0.348214,0.38237244718281693,10
198612,10078,0.109827,0.35595472983927634,10
198703,10078,0.09292,0.49587575247072846,10
198704,10078,0.165992,0.6097312251768471,10
198706,10078,-0.063218,0.5787167917627692,10
198707,10078,-0.150307,0.20709405549960042,10
198708,10078,0.119134,0.33845712839923614,10
198709,10078,-0.064516,0.19727582657961043,10
198711,10078,-0.17037,-0.052410810493860566,6
198712,10078,0.196429,0.08109445452403699,7
198802,10078,-0.022388,-0.1181993177318553,4
198803,10078,0.091603,-0.26339391628436704,3
198805,10078,-0.042553,-0.47308760050208487,2
198806,10078,0.111111,-0.3003684204130018,3
198808,10078,0.054608,-0.4009082375913199,2
198809,10078,-0.087379,-0.28738639057235416,3
198810,10078,-0.191489,-0.44775271978723286,2
198811,10078,-0.039474,-0.4361731854202313,2
198901,10078,0.142857,-0.5867978360709702,1
198902,10078,-0.065789,-0.6290950173836252,1
198903,10078,-0.091549,-0.6707051399334785,1
198905,10078,0.284672,-0.4710665701554557,1
198906,10078,-0.227273,-0.9951941183410967,1
198907,10078,-0.147059,-0.809813133303664,1
198908,10078,0.077586,-0.6972259459246473,1
198910,10078,0.090164,-0.4987182936165001,2
198911,10078,-0.022556,-0.61113668542027,1
199001,10078,0.123188,-0.4199699219518862,2
199002,10078,0.154839,-0.44502646815823554,2
199004,10078,0.088398,-0.5723118821189369,1
199005,10078,0.233503,-0.5894303129566671,1
199007,10078,-0.073529,-0.8178295004272694,1
199008,10078,-0.087302,-0.8477401303474407,1
199010,10078,-0.268571,-0.7239299497646261,1
199011,10078,0.304688,-0.536379290443573,1
199012,10078,0.023952,-0.558352406778628,1
199101,10078,0.327485,-0.5407814333589269,1
199102,10078,0.132159,-0.6967618072815472,1
199104,10078,0.15748,-0.5748874411407057,1
199105,10078,0.003401,-0.8907043857123874,1
199107,10078,0.098655,-0.7106248675546828,1
199109,10078,-0.062016,-0.828522301849096,1
199110,10078,-0.181818,-0.9746515821131544,1
199112,10078,0.182292,-0.5753030871508951,1
199201,10078,0.07489,-0.7788017081042256,1
199203,10078,-0.17029,-0.734584709167272,1
199204,10078,-0.043668,-0.7005160271535118,1
199206,10078,-0.06278,-0.6919806322882307,1
199207,10078,0.023923,-0.5834093263552368,1
199208,10078,0.004673,-0.5014995350477773,2
199209,10078,0.162791,-0.36343514743862315,2
199211,10078,-0.099291,-0.5535195663826631,1
199212,10078,0.059055,-0.45487502959678505,2
199303,10078,-0.145907,-0.5864275603676103,2
199304,10078,-0.1,-0.5724431094339881,2
199306,10078,-0.0125,-0.5963523002251575,2
199308,10078,-0.117647,-0.6658721278606168,2
199309,10078,-0.085714,-0.6631690606313356,2
199311,10078,0.044118,-0.5082262155300854,3
199312,10078,0.093897,-0.47898203539311535,2
199401,10078,-0.090129,-0.5761051640727076,2
199402,10078,0.023585,-0.6396580451196444,2
199403,10078,0.009217,-0.5575497564615011,2
199405,10078,-0.067039,-0.5722768264482369,2
199406,10078,-0.011976,-0.5823997017657653,2
199408,10078,0.191011,-0.2732191727212392,3
199409,10078,0.108491,-0.2666632839216184,4
199410,10078,0.114894,-0.24487095385997018,4
199411,10078,0.022901,-0.2930906674525905,4
199501,10078,-0.077465,-0.34584768223243734,3
199502,10078,-0.022901,-0.3447375491576511,3
199503,10078,0.085938,-0.37107786251977615,3
199505,10078,0.128527,-0.26484765212988237,4
199506,10078,0.077778,-0.3096296813307038,3
199507,10078,-0.007732,-0.3016328919566832,4
199508,10078,0.202597,-0.3987558617880468,3
199510,10078,0.238095,-0.6259050041378256,3
199511,10078,0.078526,-1.2896704949562747,1
199601,10078,0.008219,-2.613006958081013,1
199602,10078,0.141304,-2.3975752948713622,1
199604,10078,0.24,-2.358169155437578,1
199605,10078,0.154378,-2.5296715888233376,1
199607,10078,-0.072187,-2.8276126710178713,1
199609,10078,0.142529,-2.6946697587018917,1
199610,10078,-0.018109,-2.864716782658531,1
199612,10078,-0.118026,-2.8436420077809115,1
199701,10078,0.23601,-2.8938815025963955,1
199702,10078,-0.027559,-3.0356508715916184,1
199703,10078,-0.064777,-2.821553925873761,1
199704,10078,-0.002165,-2.737022226493092,1
199706,10078,0.15407,-3.0024728477116014,1
199707,10078,0.22754,-2.6998440469325686,1
199709,10078,-0.029793,-2.2856495852421883,1
199710,10078,-0.268358,-3.124204640431993,1
199712,10078,0.107639,-2.439790968523964,1
199803,10078,-0.124016,-2.5677518597685784,1
199804,10078,-0.012734,-2.269582513609495,1
199806,10078,0.084243,-2.1923980108913104,1
199807,10078,0.08777,-1.993463607849524,1
199808,10078,-0.161376,-2.2133253645424897,1
199809,10078,0.257098,-1.7736689664501488,2
199811,10078,0.271459,-1.5314443241261215,2
199812,10078,0.156118,-1.9016533399879643,1
199903,10078,0.285164,-1.8890647249105494,2
199904,10078,-0.043478,-2.810524598330696,1
199906,10078,0.15272,-2.616429805247669,2
199908,10078,0.171271,-2.5194167691063827,2
199909,10078,0.169811,-2.270978189035764,2
199911,10078,0.249852,-2.4821308668034785,2
199912,10078,0.171078,-3.5171615214961203,1
200001,10078,0.014528,-4.7794184801768225,1
200002,10078,0.21241,-4.411166871715148,1
200003,10078,-0.01624,-4.828606337388951,1
200005,10078,-0.166553,-6.608964496546046,1
200006,10078,0.186786,-6.412396644786483,1
200007,10078,0.15945,-6.072663891100327,1
200008,10078,0.203912,-5.954852734310721,1
200010,10078,-0.050321,-7.950809989344734,1
200011,10078,-0.31398,-8.92659783769857,1
200101,10078,0.096413,-17.13337416516108,1
200102,10078,-0.349693,-19.177921221738814,1
200104,10078,0.113858,-22.519002822269396,1
200105,10078,-0.037967,-23.388059606844404,1
200107,10078,0.03626,-23.593138404468508,1
200108,10078,-0.297115,-24.621686615999618,1
200110,10078,0.227328,-25.826880672937108,1
200111,10078,0.402956,-26.313758177317712,1
200112,10078,-0.136236,-26.434167973383605,1
200201,10078,-0.125203,-26.857229733533906,1
200202,10078,-0.209108,-27.029118710636943,1
200204,10078,-0.072562,-29.515540482397885,1
200205,10078,-0.157702,-34.50912972153335,1
200207,10078,-0.217565,-35.995619139442404,1
200209,10078,-0.298103,-34.887592983333725,1
200210,10078,0.143243,-34.09920055609155,1
200212,10078,-0.275227,-32.76614919355327,1
200301,10078,-0.006431,-32.002326636180484,1
200302,10078,0.113269,-31.051208365152085,1
200303,10078,-0.052326,-29.941760676640644,1
200304,10078,0.015337,-29.276353463822858,1
200306,10078,0.068966,-27.097574401804142,1
200307,10078,-0.191398,-25.453722027898664,1
200309,10078,-0.151282,-22.045854980342583,1
200310,10078,0.193354,-21.061400597905642,1
200312,10078,0.049296,-20.183616713594887,1
200403,10078,-0.214689,-20.81221318898498,1
200404,10078,-0.064748,-20.650425414505428,1
200406,10078,0.038369,-21.88105891645766,1
200408,10078,-0.020253,-22.98777172943398,1
200409,10078,0.043928,-23.32542325145843,1
200411,10078,0.233333,-23.385466525883146,1
200412,10078,-0.028829,-23.43614983102711,1
200501,10078,-0.191095,-23.949683317057495,1
200502,10078,-0.03211,-24.583726664779842,1
200503,10078,-0.042654,-24.198234707505385,1
200505,10078,0.052486,-18.842740562480014,1
200506,10078,-0.020997,-18.22121220215201,1
200508,10078,-0.010417,-16.284427013685974,1
200509,10078,0.034211,-16.40784029959804,1
200510,10078,0.017812,-15.112733029741257,1
200511,10078,-0.0575,-14.64266184008629,1
200601,10078,0.073986,-15.27740582927368,1
200602,10078,-0.073333,-15.291434315713914,1
200603,10078,0.230216,-16.212161659752987,1
200605,10078,-0.074,-17.525534737995795,1
200606,10078,-0.103672,-17.19933217577863,1
200607,10078,0.048193,-16.677267169204004,1
200608,10078,0.147126,-16.725987191875713,1
200610,10078,0.09697,-16.56633633460913,1
200611,10078,-0.001842,-16.33008775734315,1
200701,10078,0.225092,-17.12196705866327,1
200702,10078,-0.076807,-17.282261120914892,1
200704,10078,-0.131448,-18.293538324556458,1
200705,10078,-0.022969,-18.73976419043692,1
200707,10078,-0.030418,-20.209562504296237,1
200708,10078,0.05098,-22.817252540201803,1
200710,10078,0.016014,-22.51504468725625,1
200711,10078,-0.090193,-22.296112647214137,1
200712,10078,-0.127527,-24.951698886343166,1
200801,10078,-0.034749,-26.867689388147095,1
200802,10078,-0.062857,-28.31460408174831,1
200803,10078,-0.053049,-29.693597992117184,1
200804,10078,0.008371,-30.956368056632,1
200806,10078,-0.159846,-32.366792508333255,1
200807,10078,-0.022978,-32.769800668330284,1
200809,10078,-0.155556,-34.37339642715262,1
200810,10078,-0.394737,-35.599186215005986,1
200812,10078,0.205047,-37.25876140221009,1
200903,10078,0.564103,-38.50119942970736,1
200904,10078,0.251366,-38.97161104536823,1
200906,10078,0.024444,-37.98605743914712,1
200907,10078,-0.005423,-38.376082640802025,1
200908,10078,0.011996,-38.84505087811959,1
200909,10078,-0.020474,-38.934265969470715,1
200911,10078,0.040342,-38.7170834088148,1
200912,10078,0.101058,-38.459110065704756,1
198604,10104,0.197605,-0.0026311086349913027,7
198606,10104,0.037234,0.11172065870111711,9
198607,10104,-0.364103,-0.3177081351735289,2
198609,10104,-0.136364,0.15157768223024362,10
198610,10104,0.263158,0.37352042530080676,10
198612,10104,-0.034884,0.1800843644136207,9
198703,10104,0.142857,-0.007998013293198825,7
198704,10104,0.068182,-0.03151772495272301,8
198706,10104,-0.183486,-0.12704030610115116,5
198707,10104,0.022472,-0.03570211848638394,6
198708,10104,0.175824,0.17382465680935857,9
198709,10104,0.214953,0.22737650150721903,10
198711,10104,-0.13,0.17323915035405438,9
198712,10104,0.333333,0.06429853467254126,7
198802,10104,0.080357,0.1322474454408352,8
198803,10104,0.07438,0.15343429405484865,9
198805,10104,0.0,-0.0234046202193057,7
198806,10104,0.179104,-0.0883384875060241,5
198808,10104,-0.026316,-0.06149832030352473,7
198809,10104,0.087838,-0.08603787087046197,4
198810,10104,-0.217391,-0.13826115114506535,5
198811,10104,0.095238,-0.06050061162899911,6
198901,10104,0.211538,0.19012168950695654,9
198902,10104,-0.047619,-0.11376552623449457,5
198903,10104,0.072222,-0.02069739376265453,6
198905,10104,0.051724,-0.23993009070028484,3
198906,10104,-0.02459,-0.3209997639041279,4
198907,10104,0.033613,-0.2927511792438956,3
198908,10104,0.219512,-0.24731578298711818,4
198910,10104,-0.015873,-0.4087530251845488,3
