yyyymm,permno,actual_ret,predicted_ret,decile
198606,10078,-0.118056,0.024033048982509866,8
198607,10078,-0.03937,0.011914716036359789,7
198609,10078,-0.00885,0.025076467097412167,9
198610,10078,0.348214,0.0556883369888142,9
198612,10078,0.109827,0.017315446159095332,7
198703,10078,0.09292,0.03826482291359402,9
198704,10078,0.165992,-0.008501404122827762,6
198706,10078,-0.063218,0.00035433176406913895,7
198707,10078,-0.150307,0.007042200430045885,7
198708,10078,0.119134,0.013071105428070558,7
198709,10078,-0.064516,0.017091854141295958,7
198711,10078,-0.17037,-0.03441271854916486,5
198712,10078,0.196429,-0.008750408220137285,7
198802,10078,-0.022388,-0.10157195352780773,1
198803,10078,0.091603,-0.05296513988177327,2
198805,10078,-0.042553,-0.0810920351931716,1
198806,10078,0.111111,-0.05727430449673202,3
198808,10078,0.054608,-0.06168983156182758,3
198809,10078,-0.087379,-0.048028079576740844,3
198810,10078,-0.191489,-0.04811931898509585,2
198811,10078,-0.039474,-0.04208900662021929,4
198901,10078,0.142857,-0.06429425761155678,1
198902,10078,-0.065789,-0.07467967964575066,1
198903,10078,-0.091549,-0.03963212724452309,3
198905,10078,0.284672,-0.029148426090002545,3
198906,10078,-0.227273,-0.11109056804345799,1
198907,10078,-0.147059,-0.14958489856278406,1
198908,10078,0.077586,-0.09946173130377425,1
198910,10078,0.090164,-0.005499969576454838,7
198911,10078,-0.022556,-0.06422448227197396,1
199001,10078,0.123188,-0.030035148454074977,3
199002,10078,0.154839,-0.033652119468796274,3
199004,10078,0.088398,-0.045786542245376545,2
199005,10078,0.233503,-0.01119506679066835,5
199007,10078,-0.073529,-0.04859628091936817,2
199008,10078,-0.087302,-0.0836378525590315,1
199010,10078,-0.268571,-0.1126742248068805,1
199011,10078,0.304688,-0.06649810024775576,1
199012,10078,0.023952,-0.030211450540741758,3
199101,10078,0.327485,-0.0494463123344979,1
199102,10078,0.132159,-0.07157778050279341,1
199104,10078,0.15748,0.019634481689745454,9
199105,10078,0.003401,-0.09405374426838768,1
199107,10078,0.098655,-0.025852780169072748,3
199109,10078,-0.062016,-0.06996179321312003,1
199110,10078,-0.181818,-0.0981932534146927,1
199112,10078,0.182292,-0.0073134129147107855,4
199201,10078,0.07489,-0.09658744153165473,1
199203,10078,-0.17029,-0.06779822681808503,2
199204,10078,-0.043668,-0.06553413996256632,1
199206,10078,-0.06278,-0.09012883804961874,1
199207,10078,0.023923,-0.0737148008209481,2
199208,10078,0.004673,-0.10307083926958097,1
199209,10078,0.162791,-0.0409954528980005,4
199211,10078,-0.099291,-0.06338893971966324,1
