yyyymm,permno,actual_ret,predicted_ret,decile
198606,10078,-0.118056,0.008383748751994718,7
198607,10078,-0.03937,0.002732799252166243,1
198609,10078,-0.00885,0.005709395592071145,3
198610,10078,0.348214,0.010043201490317812,9
198612,10078,0.109827,0.013006394622014472,10
198703,10078,0.09292,0.011662942476759685,10
198704,10078,0.165992,0.01308317945033193,10
198706,10078,-0.063218,0.011101842640061506,9
198707,10078,-0.150307,0.010682010367133624,9
198708,10078,0.119134,0.009333711492856448,8
198709,10078,-0.064516,0.010257968870201657,8
198711,10078,-0.17037,0.005611362864273368,3
198712,10078,0.196429,0.008494566471118029,6
198802,10078,-0.022388,0.005902673136164239,4
198803,10078,0.091603,0.002282053425556624,1
198805,10078,-0.042553,0.010854415882270376,8
198806,10078,0.111111,0.010270305571096884,8
198808,10078,0.054608,0.004860451945861608,2
198809,10078,-0.087379,0.009249832878767988,7
198810,10078,-0.191489,0.011023746611022308,9
198811,10078,-0.039474,0.00777729375283996,6
198901,10078,0.142857,0.008855837207578345,7
198902,10078,-0.065789,0.007507690948090383,5
198903,10078,-0.091549,0.004828786452689245,2
198905,10078,0.284672,0.008855308432607168,7
198906,10078,-0.227273,0.0004719578711264551,1
198907,10078,-0.147059,0.012074321170389948,9
198908,10078,0.077586,0.01044693750337281,8
198910,10078,0.090164,0.010109960663832901,8
198911,10078,-0.022556,0.00905722616463914,7
199001,10078,0.123188,0.0018615562904413232,1
199002,10078,0.154839,0.006142297729683738,3
199004,10078,0.088398,0.007893232627861667,6
199005,10078,0.233503,0.008136821038219033,7
199007,10078,-0.073529,0.008653755314532845,7
199008,10078,-0.087302,0.013232917252775882,10
199010,10078,-0.268571,0.009018901340782532,7
199011,10078,0.304688,0.0033682248832322126,1
199012,10078,0.023952,0.007137755878509197,5
199101,10078,0.327485,0.004256959273296819,2
199102,10078,0.132159,0.009910965640520228,8
199104,10078,0.15748,0.0019602693044749094,1
199105,10078,0.003401,0.010425249895492067,9
199107,10078,0.098655,0.0070761102642053495,5
199109,10078,-0.062016,0.008622753907042207,7
199110,10078,-0.181818,0.011941119918712042,10
199112,10078,0.182292,0.0025328931704916213,1
199201,10078,0.07489,0.01151485068331095,9
199203,10078,-0.17029,0.007340459397291414,6
199204,10078,-0.043668,0.0076021077118692305,6
199206,10078,-0.06278,0.007082025627836688,5
199207,10078,0.023923,0.012181875144614161,10
199208,10078,0.004673,0.0024371347651925114,1
199209,10078,0.162791,0.0066032451266015545,5
199211,10078,-0.099291,0.009973433705901738,9
199212,10078,0.059055,0.0058337128187538455,3
199303,10078,-0.145907,0.0031256833264164657,2
199304,10078,-0.1,0.006270274666322859,4
199306,10078,-0.0125,0.011219696865544061,9
199308,10078,-0.117647,0.0070112999143299645,5
199309,10078,-0.085714,0.01231280070580117,10
199311,10078,0.044118,0.008225321321442552,7
199312,10078,0.093897,0.006961107503769731,5
199401,10078,-0.090129,0.010721342934519394,8
199402,10078,0.023585,0.007727246171372378,6
199403,10078,0.009217,0.004788454313109713,3
199405,10078,-0.067039,0.013206432428338015,10
199406,10078,-0.011976,0.004695600115595519,2
199408,10078,0.191011,0.009096682203340338,8
199409,10078,0.108491,0.010982548099155756,9
199410,10078,0.114894,0.007755629136815578,5
199411,10078,0.022901,0.012658216918691984,10
199501,10078,-0.077465,0.004678058548917912,3
199502,10078,-0.022901,0.006876482868241303,4
199503,10078,0.085938,0.006157321740124464,4
199505,10078,0.128527,0.0024485982906454823,1
199506,10078,0.077778,0.0017445001029868902,1
199507,10078,-0.007732,0.007149969931328971,4
199508,10078,0.202597,0.011513869329786233,9
199510,10078,0.238095,0.003143968956534976,1
199511,10078,0.078526,0.008781584161068952,7
199601,10078,0.008219,0.007303662569416633,5
199602,10078,0.141304,0.006036778483476024,4
199604,10078,0.24,0.003892651927845894,2
199605,10078,0.154378,0.008674155547418065,7
199607,10078,-0.072187,0.0050518924360378565,3
199609,10078,0.142529,0.004165283571893117,2
199610,10078,-0.018109,0.008254784826153369,7
199612,10078,-0.118026,0.0002781414631356158,1
199701,10078,0.23601,0.00723155230198148,5
199702,10078,-0.027559,0.009302918265291183,8
199703,10078,-0.064777,0.005954650990336139,4
199704,10078,-0.002165,0.007631915220464675,6
199706,10078,0.15407,0.007107658075707952,5
199707,10078,0.22754,0.007716037166777049,6
199709,10078,-0.029793,0.0067739304640575,5
199710,10078,-0.268358,0.00632285740604327,4
199712,10078,0.107639,0.011867393246360141,10
199803,10078,-0.124016,0.0035540999919051047,1
199804,10078,-0.012734,0.008725155749246278,7
199806,10078,0.084243,0.008105117178225549,6
199807,10078,0.08777,0.0030511565479918058,1
199808,10078,-0.161376,0.007812897104019681,6
199809,10078,0.257098,0.007731296428656191,5
199811,10078,0.271459,0.008894520405253032,7
199812,10078,0.156118,0.007793374339717129,5
199903,10078,0.285164,0.006870664854245282,5
199904,10078,-0.043478,0.00921837390325925,8
199906,10078,0.15272,0.003807773155032349,2
199908,10078,0.171271,0.008045007257887548,6
199909,10078,0.169811,0.014826098773125206,10
199911,10078,0.249852,0.003973606841434661,2
199912,10078,0.171078,0.010158597479292566,9
200001,10078,0.014528,0.015107521406030229,10
200002,10078,0.21241,0.011504688777316589,10
200003,10078,-0.01624,0.0043534555526183885,2
200005,10078,-0.166553,0.01172392916844155,9
200006,10078,0.186786,0.016029911250103206,10
200007,10078,0.15945,0.0057916028026745855,3
200008,10078,0.203912,0.010021932352984344,8
200010,10078,-0.050321,0.008968827384568745,7
200011,10078,-0.31398,0.004676619080017131,3
200101,10078,0.096413,0.007660950769035178,5
200102,10078,-0.349693,0.014463794117931968,10
200104,10078,0.113858,0.010642878749023744,8
200105,10078,-0.037967,0.007258480093115812,5
200107,10078,0.03626,0.007174022963865682,5
200108,10078,-0.297115,0.010236366992795037,8
200110,10078,0.227328,0.00836914394596473,6
200111,10078,0.402956,0.009537945386757885,8
