yyyymm,permno,actual_ret,predicted_ret,decile
198606,10078,-0.118056,0.0011714506759202443,5
198607,10078,-0.03937,-0.04096981054563792,3
198609,10078,-0.00885,0.008888480157278472,8
198610,10078,0.348214,0.051090724756346614,9
198612,10078,0.109827,0.11010024466415061,10
198703,10078,0.09292,0.012017692645744116,5
198704,10078,0.165992,0.07433315187973648,10
198706,10078,-0.063218,-0.03851339616888959,2
198707,10078,-0.150307,-0.07151538757790919,1
198708,10078,0.119134,-0.008833477095500475,3
198709,10078,-0.064516,-0.004861451750575249,6
198711,10078,-0.17037,-0.05068294011230397,4
198712,10078,0.196429,0.012330857974518834,7
198802,10078,-0.022388,-0.03602938590198693,2
198803,10078,0.091603,-0.0033921055994331484,5
198805,10078,-0.042553,0.01604893906266635,9
198806,10078,0.111111,0.0234936233349895,9
198808,10078,0.054608,0.0014500489947777125,8
198809,10078,-0.087379,-0.006756366211212421,4
198810,10078,-0.191489,-0.061846347034132144,1
198811,10078,-0.039474,0.00814559448829441,6
198901,10078,0.142857,-0.043864443640915275,1
198902,10078,-0.065789,-0.05946932620229864,1
198903,10078,-0.091549,-0.0010743260764959424,3
198905,10078,0.284672,0.012286146092721379,4
198906,10078,-0.227273,-0.10021810576058181,1
198907,10078,-0.147059,-0.08734470395898113,1
198908,10078,0.077586,-0.09996072017268451,1
198910,10078,0.090164,0.021937258571859623,9
198911,10078,-0.022556,-0.04722591357710411,1
199001,10078,0.123188,0.0017589609362301346,6
199002,10078,0.154839,-0.006652964661398514,4
199004,10078,0.088398,0.012999743868357406,8
199005,10078,0.233503,0.11186795627799759,10
199007,10078,-0.073529,-0.0057032345120231085,4
199008,10078,-0.087302,-0.08256518343508473,1
199010,10078,-0.268571,-0.1302289252784988,1
199011,10078,0.304688,-0.03395806256147277,2
199012,10078,0.023952,0.0027526894552448223,4
199101,10078,0.327485,-0.011241665855958783,3
199102,10078,0.132159,-0.03012750958006952,2
199104,10078,0.15748,0.05439770417893404,9
199105,10078,0.003401,-0.0034048937634255745,4
199107,10078,0.098655,0.02392566814472644,6
199109,10078,-0.062016,-0.01819613813420897,2
199110,10078,-0.181818,-0.10707119438729511,1
199112,10078,0.182292,0.032321747908690954,6
199201,10078,0.07489,-0.08054646932185995,1
199203,10078,-0.17029,-0.021386232131293557,3
199204,10078,-0.043668,-0.06483728213915088,1
199206,10078,-0.06278,-0.05399054788305704,1
199207,10078,0.023923,-0.006505996002447987,4
199208,10078,0.004673,-0.02205881542633176,3
199209,10078,0.162791,-0.0015161603473843681,5
199211,10078,-0.099291,0.0008373890549374369,4
199212,10078,0.059055,0.030566675043294918,6
199303,10078,-0.145907,-0.008584840334618813,4
199304,10078,-0.1,-0.0533927431292035,2
199306,10078,-0.0125,0.0025154713115848842,5
199308,10078,-0.117647,-0.004230655876612239,3
199309,10078,-0.085714,-0.02809831534155311,2
199311,10078,0.044118,0.03846517326884385,9
199312,10078,0.093897,0.04396724679190716,9
199401,10078,-0.090129,-0.046614122468051494,2
199402,10078,0.023585,0.0098501765042297,7
199403,10078,0.009217,-0.0014591467503112228,6
199405,10078,-0.067039,-0.0023258703487004763,4
199406,10078,-0.011976,-0.023640546824101633,4
199408,10078,0.191011,0.05049699503213178,9
199409,10078,0.108491,0.04509769438264785,10
199410,10078,0.114894,0.11657783750147864,10
199411,10078,0.022901,0.016283749837540412,7
199501,10078,-0.077465,0.022695019586686176,6
