yyyymm,permno,actual_ret,predicted_ret,decile
198606,10078,-0.118056,0.009000246723683115,4
198607,10078,-0.03937,-0.0004878644763224478,6
198609,10078,-0.00885,-0.000531937935592316,7
198610,10078,0.348214,0.029934263252367407,9
198612,10078,0.109827,0.019666931002551107,9
198703,10078,0.09292,0.031348154046204814,9
198704,10078,0.165992,0.01775770760151568,8
198706,10078,-0.063218,0.0038759760614881173,5
198707,10078,-0.150307,-0.005477489323081526,4
198708,10078,0.119134,0.0057504567353891915,4
198709,10078,-0.064516,0.008869207169495541,6
198711,10078,-0.17037,-0.015064170697995847,6
198712,10078,0.196429,0.004567555537877549,8
198802,10078,-0.022388,-0.020180915755486563,4
198803,10078,0.091603,0.007972483789158318,9
198805,10078,-0.042553,0.009545656049813589,8
198806,10078,0.111111,0.01933039371633793,9
198808,10078,0.054608,0.018793278950607888,10
198809,10078,-0.087379,0.0016931058508212722,4
198810,10078,-0.191489,-0.0027938285964155688,3
198811,10078,-0.039474,0.0034962148352144363,4
198901,10078,0.142857,-0.024675677078444622,1
198902,10078,-0.065789,-0.03130742668854707,1
198903,10078,-0.091549,-0.018152678508591914,1
198905,10078,0.284672,-0.004503725584492218,2
198906,10078,-0.227273,-0.04006516513146442,1
198907,10078,-0.147059,-0.0721347549852806,1
198908,10078,0.077586,-0.043950217011443866,1
198910,10078,0.090164,0.003941597877409696,6
198911,10078,-0.022556,-0.034546526626516284,1
199001,10078,0.123188,0.011193822576077997,7
199002,10078,0.154839,0.02058104376445662,9
199004,10078,0.088398,0.019267925973484593,9
199005,10078,0.233503,0.06468643714045545,10
199007,10078,-0.073529,0.01845304572988401,8
199008,10078,-0.087302,-0.007903260313808395,3
199010,10078,-0.268571,-0.049753355184572814,1
199011,10078,0.304688,-0.023490364477911387,2
199012,10078,0.023952,-0.00405503029025125,4
199101,10078,0.327485,0.007323852473582579,5
199102,10078,0.132159,0.005207541198190558,3
199104,10078,0.15748,0.05639215429301196,10
199105,10078,0.003401,0.0129865320747135,5
199107,10078,0.098655,0.022692239169593717,7
199109,10078,-0.062016,-0.003241524281362336,2
199110,10078,-0.181818,-0.029172371638731962,1
199112,10078,0.182292,0.021470158484219872,6
199201,10078,0.07489,-0.007973598632827289,2
199203,10078,-0.17029,0.0005194725250367779,4
199204,10078,-0.043668,-0.008222623582901423,3
199206,10078,-0.06278,-0.0009271789828422502,4
199207,10078,0.023923,0.00617074056967225,6
199208,10078,0.004673,-0.006005484238836344,4
199209,10078,0.162791,0.01269073321922216,7
199211,10078,-0.099291,0.003097210219468495,4
199212,10078,0.059055,0.006666003811265449,4
199303,10078,-0.145907,-0.0065144117655441735,3
199304,10078,-0.1,-0.03110997756344303,2
199306,10078,-0.0125,0.0020019950124430964,4
199308,10078,-0.117647,-0.008870448301548893,2
199309,10078,-0.085714,-0.021148838888867302,2
199311,10078,0.044118,0.004409692912298325,5
199312,10078,0.093897,0.00797322328584614,6
199401,10078,-0.090129,-0.015879455361685488,2
199402,10078,0.023585,0.008088417124493588,6
199403,10078,0.009217,-0.00306449866308271,4
199405,10078,-0.067039,0.004105710707635827,5
199406,10078,-0.011976,-0.014762205795105666,3
199408,10078,0.191011,0.04186398806257382,10
199409,10078,0.108491,0.03423157797609888,10
199410,10078,0.114894,0.04364645912544329,10
199411,10078,0.022901,0.010624709907760418,7
199501,10078,-0.077465,0.027357369014448882,8
199502,10078,-0.022901,0.007222191883244191,4
199503,10078,0.085938,0.014318049039607707,5
199505,10078,0.128527,0.022530975286044627,7
199506,10078,0.077778,0.017668722705379353,5
199507,10078,-0.007732,0.035548558476743444,8
199508,10078,0.202597,0.04030293754653848,9
199510,10078,0.238095,0.07233049453378747,10
199511,10078,0.078526,0.032211970760073504,8
199601,10078,0.008219,-0.02552776215672251,1
199602,10078,0.141304,-0.015222503845265321,2
199604,10078,0.24,-0.004944197853532972,2
199605,10078,0.154378,-0.027917717074685818,1
199607,10078,-0.072187,-0.015668098381756722,2
199609,10078,0.142529,-0.011307738440547874,2
199610,10078,-0.018109,-0.05667231162244348,1
199612,10078,-0.118026,-0.0470131833123509,1
199701,10078,0.23601,-0.014828924110955623,2
199702,10078,-0.027559,-0.017843408677510227,1
199703,10078,-0.064777,-0.024972647969827826,2
199704,10078,-0.002165,-0.03637282597857081,1
199706,10078,0.15407,-0.026060952157402634,1
