yyyymm,permno,actual_ret,predicted_ret,decile
198606,10078,-0.118056,0.036403614828294927,9
198607,10078,-0.03937,0.01514027200086304,8
198609,10078,-0.00885,0.00955171188074246,8
198610,10078,0.348214,0.06323022748437226,10
198612,10078,0.109827,0.0724785317890519,10
198703,10078,0.09292,0.036431298211855,8
198704,10078,0.165992,0.007439691042665708,8
198706,10078,-0.063218,0.020178148292815203,8
198707,10078,-0.150307,0.025069930681494816,9
198708,10078,0.119134,0.028159278044457905,9
198709,10078,-0.064516,0.0376036304347846,9
198711,10078,-0.17037,-0.02838387598397587,7
198712,10078,0.196429,-0.014895696890631369,8
198802,10078,-0.022388,-0.08659160691398764,2
198803,10078,0.091603,-0.07789546035304663,2
198805,10078,-0.042553,-0.069322269238462,2
198806,10078,0.111111,-0.06589571961008588,2
198808,10078,0.054608,-0.06203794351470409,3
198809,10078,-0.087379,-0.07213264859933805,2
198810,10078,-0.191489,-0.07610525145274866,1
198811,10078,-0.039474,-0.0578551350631484,2
198901,10078,0.142857,-0.07263000463307644,1
198902,10078,-0.065789,-0.08320742253053659,1
198903,10078,-0.091549,-0.06665392447978939,1
198905,10078,0.284672,-0.015631733850191273,5
198906,10078,-0.227273,-0.09051558666734492,1
198907,10078,-0.147059,-0.1128120894361639,1
198908,10078,0.077586,-0.08312038081948339,1
198910,10078,0.090164,-0.03648375135320666,5
198911,10078,-0.022556,-0.05961945409845427,2
199001,10078,0.123188,-0.022035638762486466,6
199002,10078,0.154839,-0.023337610631606713,5
199004,10078,0.088398,-0.03499590273180673,4
199005,10078,0.233503,-0.04072647794372281,3
199007,10078,-0.073529,-0.06093958768128794,2
199008,10078,-0.087302,-0.0884159703679326,1
199010,10078,-0.268571,-0.12290837272373144,1
199011,10078,0.304688,-0.08132249669221145,1
199012,10078,0.023952,-0.053618313999008696,3
199101,10078,0.327485,-0.056947662690406665,2
199102,10078,0.132159,-0.06361005297090525,1
199104,10078,0.15748,-0.02291756999496139,4
199105,10078,0.003401,-0.07037993914484664,1
199107,10078,0.098655,-0.06719617037813125,2
199109,10078,-0.062016,-0.0797243940781376,1
199110,10078,-0.181818,-0.08912772546046477,1
199112,10078,0.182292,-0.07356999916245914,1
199201,10078,0.07489,-0.11750199009964618,1
199203,10078,-0.17029,-0.10445554478176548,1
199204,10078,-0.043668,-0.11825614658128793,1
199206,10078,-0.06278,-0.1162899987079187,1
199207,10078,0.023923,-0.09410713791294839,1
199208,10078,0.004673,-0.10844208377592549,1
199209,10078,0.162791,-0.07065183224598906,2
199211,10078,-0.099291,-0.08460206273972541,1
199212,10078,0.059055,-0.0767403515991436,1
