feature,importance
High52,0.216244695934975
RealizedVol,0.06777750590419819
ReturnSkew,0.06121995680665312
ReturnSkew3F,0.059613152385290996
MaxRet,0.05199725988820338
Mom6m,0.036418226875960136
Mom12mOffSeason,0.035801459184578284
Mom12m,0.03264839251105292
IdioVol3F,0.03128745752726689
IndMom,0.029745803248000875
MomSeasonShort,0.0270090222460249
BidAskSpread,0.025900923145938233
IntMom,0.025279389308611396
Beta,0.02413924684790327
VolMkt,0.020575851688389917
Coskewness,0.01604307293793438
TrendFactor,0.01599828940427321
MomSeason,0.015401872698867357
DolVol,0.013928665248659022
BetaTailRisk,0.01332485748923878
LRreversal,0.01330414758273165
IdioVolAHT,0.012922212906442666
FirmAge,0.012643119116183982
VolSD,0.011844399324474958
MomSeason06YrPlus,0.011841023701581296
PriceDelaySlope,0.01113888033241157
MomOffSeason,0.010163714395387585
MRreversal,0.01015547700143787
BetaFP,0.010125141546241528
VolumeTrend,0.009569209336550892
MomOffSeason06YrPlus,0.008428866291488308
ResidualMomentum,0.008061835917635185
PriceDelayTstat,0.007670244416418979
PriceDelayRsq,0.005674409045357863
CompEquIss,0.005561568032182133
MomVol,0.005510691328447965
zerotrade6M,0.004460880498950334
ShareIss5Y,0.003308202175039691
ShareIss1Y,0.003256912525242212
MomSeason11YrPlus,0.0025613313013908975
MomOffSeason11YrPlus,0.0024846485723687044
zerotrade12M,0.002338961078580978
RIO_Turnover,0.0016760812590351055
DivYieldST,0.0013166324974748264
DivSeason,0.0010859497694793538
zerotrade1M,0.0009774880551855177
FirmAgeMom,0.000548454824144371
MomSeason16YrPlus,0.0003964383702604072
ShareVol,0.0003266679652842605
RIO_Volatility,0.00013961048963451232
Spinoff,0.0001087252398288508
MomOffSeason16YrPlus,3.435525227846852e-05
DivInit,8.618568826801555e-06
RDAbility,0.0
RD,0.0
RDIPO,0.0
RDS,0.0
RDcap,0.0
ChangeInRecommendation,0.0
RIO_MB,0.0
REV6,0.0
RIO_Disp,0.0
AnalystValue,0.0
RIVolSpread,0.0
AnalystRevision,0.0
ProbInformedTrading,0.0
PctAcc,0.0
AnnouncementReturn,0.0
AssetGrowth,0.0
NetPayoutYield,0.0
NumEarnIncrease,0.0
OPLeverage,0.0
OScore,0.0
OperProf,0.0
OperProfRD,0.0
OptionVolume1,0.0
OptionVolume2,0.0
OrderBacklog,0.0
OrderBacklogChg,0.0
OrgCap,0.0
PS,0.0
PatentsRD,0.0
PayoutYield,0.0
AgeIPO,0.0
PctTotAcc,0.0
PredictedFE,0.0
Recomm_ShortInterest,0.0
SP,0.0
AdExp,0.0
iomom_supp,0.0
dVolCall,0.0
dVolPut,0.0
fgr5yrLag,0.0
grcapx,0.0
grcapx3y,0.0
hire,0.0
iomom_cust,0.0
realestate,0.0
dCPVolSpread,0.0
retConglomerate,0.0
roaq,0.0
sfe,0.0
sinAlgo,0.0
skew1,0.0
std_turn,0.0
tang,0.0
dNoa,0.0
cfp,0.0
Activism2,0.0
Tax,0.0
RevenueSurprise,0.0
RoE,0.0
NetDebtPrice,0.0
ShareRepurchase,0.0
ShortInterest,0.0
SmileSlope,0.0
SurpriseRD,0.0
TotalAccruals,0.0
betaVIX,0.0
Activism1,0.0
UpRecomm,0.0
VarCF,0.0
AccrualsBM,0.0
Accruals,0.0
AbnormalAccruals,0.0
XFIN,0.0
NetEquityFinance,0.0
BMdec,0.0
NetDebtFinance,0.0
GrAdExp,0.0
EBM,0.0
EP,0.0
EarnSupBig,0.0
EarningsConsistency,0.0
EarningsForecastDisparity,0.0
EarningsStreak,0.0
EarningsSurprise,0.0
EntMult,0.0
EquityDuration,0.0
ExchSwitch,0.0
ExclExp,0.0
FEPS,0.0
FR,0.0
ChNAnalyst,0.0
ForecastDispersion,0.0
Frontier,0.0
GP,0.0
DownRecomm,0.0
ChNNCOA,0.0
DivOmit,0.0
CustomerMomentum,0.0
ChTax,0.0
CompositeDebtIssuance,0.0
ConsRecomm,0.0
ConvDebt,0.0
CoskewACX,0.0
ChNWC,0.0
CredRatDG,0.0
DebtIssuance,0.0
DelNetFin,0.0
DelBreadth,0.0
DelCOA,0.0
DelCOL,0.0
DelDRC,0.0
DelEqu,0.0
DelFINL,0.0
DelLTI,0.0
Governance,0.0
GrLTNOA,0.0
NOA,0.0
GrSaleToGrInv,0.0
AOP,0.0
Leverage,0.0
CashProd,0.0
MS,0.0
Cash,0.0
MeanRankRevGrowth,0.0
CPVolSpread,0.0
CF,0.0
CBOperProf,0.0
Mom6mJunk,0.0
BrandInvest,0.0
BookLeverage,0.0
MomRev,0.0
BetaLiquidityPS,0.0
BPEBM,0.0
CitationsRD,0.0
BM,0.0
Investment,0.0
InvestPPEInv,0.0
InvGrowth,0.0
ChForecastAccrual,0.0
GrSaleToGrOverhead,0.0
Herf,0.0
HerfAsset,0.0
HerfBE,0.0
ChInvIA,0.0
IO_ShortInterest,0.0
ChInv,0.0
Illiquidity,0.0
IntanSP,0.0
IndIPO,0.0
ChEQ,0.0
IndRetBig,0.0
ChAssetTurnover,0.0
IntanBM,0.0
IntanCFP,0.0
IntanEP,0.0
AM,0.0
